Protein,KO,Description
PN96_RS19905,,
PN96_RS10090,K00600,"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]"
PN96_RS14875,K11747,kefB; glutathione-regulated potassium-efflux system protein KefB
PN96_RS18085,,
PN96_RS17930,,
PN96_RS22670,K21834,"dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit"
PN96_RS20675,K02379,fdhD; FdhD protein
PN96_RS15620,,
PN96_RS14395,K01961,"accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]"
PN96_RS02870,,
PN96_RS15635,,
PN96_RS04310,K06918,K06918; uncharacterized protein
PN96_RS20950,K00209,"fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]"
PN96_RS02385,K04075,"tilS, mesJ; tRNA(Ile)-lysidine synthase [EC:6.3.4.19]"
PN96_RS15955,K03446,"emrB; MFS transporter, DHA2 family, multidrug resistance protein"
PN96_RS03285,K01759,"GLO1, gloA; lactoylglutathione lyase [EC:4.4.1.5]"
PN96_RS13460,K01879,glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
PN96_RS14655,K06949,"rsgA, engC; ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]"
PN96_RS05175,,
PN96_RS02660,K02413,fliJ; flagellar protein FliJ
PN96_RS12625,K02517,"lpxL, htrB; Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]"
PN96_RS01760,K03424,tatD; TatD DNase family protein [EC:3.1.21.-]
PN96_RS05015,K09970,"aapQ, bztB; general L-amino acid transport system permease protein"
PN96_RS19205,K08738,CYC; cytochrome c
PN96_RS18150,K16263,yjeH; amino acid efflux transporter
PN96_RS16405,,
PN96_RS07775,K19230,sapF; cationic peptide transport system ATP-binding protein
PN96_RS14735,K01448,amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
PN96_RS14280,,
PN96_RS18790,K10221,"ligI; 2-pyrone-4,6-dicarboxylate lactonase [EC:3.1.1.57]"
PN96_RS02015,,
PN96_RS11460,K02871,"RP-L13, MRPL13, rplM; large subunit ribosomal protein L13"
PN96_RS23210,K00375,K00375; GntR family transcriptional regulator / MocR family aminotransferase
PN96_RS22055,,
PN96_RS11530,K03406,mcp; methyl-accepting chemotaxis protein
PN96_RS14250,K26937,"dinF, mepA, vmrA; MATE family, multidrug efflux pump"
PN96_RS16440,,
PN96_RS22975,K26605,"azlC, brnF; branched chain amino acid efflux pump"
PN96_RS18915,K02610,"paaB; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB"
PN96_RS23275,K00824,dat; D-alanine transaminase [EC:2.6.1.21]
PN96_RS21210,,
PN96_RS22370,K24204,hxpB; mannitol-1-/sugar-/sorbitol-6-/2-deoxyglucose-6-phosphatase [EC:3.1.3.22 3.1.3.23 3.1.3.50 3.1.3.68]
PN96_RS19065,K22131,otnI; 2-dehydrotetronate isomerase [EC:5.3.1.35]
PN96_RS12045,K02986,"RP-S4, NAM9, rpsD; small subunit ribosomal protein S4"
PN96_RS13045,K03690,ubiJ; ubiquinone biosynthesis accessory factor UbiJ
PN96_RS22185,,
PN96_RS06730,K06151,E1.1.99.3A; gluconate 2-dehydrogenase alpha chain [EC:1.1.99.3]
PN96_RS01745,K03789,rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]
PN96_RS07275,K02916,"RP-L35, MRPL35, rpmI; large subunit ribosomal protein L35"
PN96_RS17155,,
PN96_RS01960,K07234,K07234; uncharacterized protein involved in response to NO
PN96_RS01520,K12373,HEXA_B; hexosaminidase [EC:3.2.1.52]
PN96_RS19635,K03614,rnfD; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D [EC:7.1.1.11 7.2.1.2]
PN96_RS22265,,
PN96_RS14645,K14445,"SLC13A2_3_5; solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5"
PN96_RS05165,,
PN96_RS21190,K03435,"fruR1, fruR; LacI family transcriptional regulator, fructose operon transcriptional repressor"
PN96_RS05285,K02001,proW; glycine betaine/proline transport system permease protein
PN96_RS08060,K13634,"cysB; LysR family transcriptional regulator, cys regulon transcriptional activator"
PN96_RS03585,K02341,holB; DNA polymerase III subunit delta' [EC:2.7.7.7]
PN96_RS13685,K09896,K09896; uncharacterized protein
PN96_RS19875,K00286,proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]
PN96_RS24310,,
PN96_RS02070,K02426,sufE; cysteine desulfuration protein SufE
PN96_RS23645,K10108,malE; maltose/maltodextrin transport system substrate-binding protein
PN96_RS20285,K07684,"narL; two-component system, NarL family, nitrate/nitrite response regulator NarL"
PN96_RS09580,,
PN96_RS14505,K13283,fieF; ferrous-iron efflux pump FieF
PN96_RS19010,,
PN96_RS00385,K12286,mshP; MSHA biogenesis protein MshP
PN96_RS14260,K22105,"fabR; TetR/AcrR family transcriptional regulator, fatty acid biosynthesis regulator"
PN96_RS14500,K06006,"cpxP, spy; periplasmic protein CpxP/Spy"
PN96_RS05070,K14056,"puuR; HTH-type transcriptional regulator, repressor for puuD"
PN96_RS03935,,
PN96_RS04665,,
PN96_RS11970,,
PN96_RS15050,K02664,pilO; type IV pilus assembly protein PilO
PN96_RS17640,,
PN96_RS01530,,
PN96_RS17730,,
PN96_RS13715,K03500,"rsmB, sun; 16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]"
PN96_RS00395,K03569,mreB; rod shape-determining protein MreB and related proteins
PN96_RS11025,K01870,"IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]"
PN96_RS00280,K00830,AGXT; alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]
PN96_RS03205,,
PN96_RS03595,K02791,malX; maltose/glucose PTS system EIICB component [EC:2.7.1.199 2.7.1.208]
PN96_RS17340,,
PN96_RS07425,K00384,"trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]"
PN96_RS16640,,
PN96_RS18165,K05835,rhtC; threonine efflux protein
PN96_RS15365,K20918,"vpsT; LuxR family transcriptional regulator, positive regulator of biofilm formation"
PN96_RS22440,K00965,"galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]"
PN96_RS03710,,
PN96_RS08735,K03437,"spoU; RNA methyltransferase, TrmH family"
PN96_RS21225,,
PN96_RS00175,K01945,purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]
PN96_RS02915,K00647,fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]
PN96_RS10650,K04044,hscA; molecular chaperone HscA
PN96_RS17515,,
PN96_RS02800,K02199,"ccmG, dsbE; cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE"
PN96_RS14815,K01664,pabA; para-aminobenzoate synthetase component II [EC:2.6.1.85]
PN96_RS13565,K02116,atpI; ATP synthase protein I
PN96_RS02590,K02406,"fliC, hag; flagellin"
PN96_RS19525,K02018,modB; molybdate transport system permease protein
PN96_RS07600,K19789,radD; DNA repair protein RadD
PN96_RS09400,K00240,"sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]"
PN96_RS00150,,
PN96_RS14780,K21217,motX; sodium-type polar flagellar protein MotX
PN96_RS00810,K01425,"glsA, GLS; glutaminase [EC:3.5.1.2]"
PN96_RS00490,K05808,hpf; ribosome hibernation promoting factor
PN96_RS22245,K18480,linN; cholesterol transport system auxiliary component
PN96_RS16510,,
PN96_RS06945,,
PN96_RS17135,K15736,lhgO; (S)-2-hydroxyglutarate dehydrogenase [EC:1.1.5.13]
PN96_RS15415,K02037,pstC; phosphate transport system permease protein
PN96_RS07535,,
PN96_RS01435,K06204,dksA; RNA polymerase-binding transcription factor
PN96_RS10415,,
PN96_RS08340,,
PN96_RS13235,K03299,"TC.GNTP; gluconate:H+ symporter, GntP family"
PN96_RS00480,K06958,rapZ; RNase adapter protein RapZ
PN96_RS02330,K00099,dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
PN96_RS01465,K00865,"glxK, garK; glycerate 2-kinase [EC:2.7.1.165]"
PN96_RS20715,,
PN96_RS04590,,
PN96_RS12775,K04760,greB; transcription elongation factor GreB
PN96_RS14415,K02342,dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]
PN96_RS09865,K00919,ispE; 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]
PN96_RS21525,,
PN96_RS05390,K07080,K07080; uncharacterized protein
PN96_RS07645,K03668,hslJ; heat shock protein HslJ
PN96_RS09220,K02361,entC; isochorismate synthase [EC:5.4.4.2]
PN96_RS06315,,
PN96_RS10280,K11750,frsA; esterase FrsA [EC:3.1.-.-]
PN96_RS19940,,
PN96_RS11695,,
PN96_RS12270,,
PN96_RS02040,K03582,recB; exodeoxyribonuclease V beta subunit [EC:3.1.11.5]
PN96_RS22010,K00038,fabG3; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
PN96_RS12410,,
PN96_RS03060,,
PN96_RS19505,,
PN96_RS16240,K10539,araG; L-arabinose transport system ATP-binding protein [EC:7.5.2.12]
PN96_RS16860,K00865,"glxK, garK; glycerate 2-kinase [EC:2.7.1.165]"
PN96_RS02090,K00077,"panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]"
PN96_RS07390,,
PN96_RS09600,K07340,ybbJ; inner membrane protein
PN96_RS23050,K03834,tyrP; tyrosine-specific transport protein
PN96_RS17025,,
PN96_RS05540,K12543,"lapE; outer membrane protein, adhesin transport system"
PN96_RS05480,,
PN96_RS20270,,
PN96_RS00825,,
PN96_RS06890,K06074,btuD; vitamin B12 transport system ATP-binding protein [EC:7.6.2.8]
PN96_RS04900,,
PN96_RS14275,K16092,btuB; vitamin B12 transporter
PN96_RS07560,,
PN96_RS03225,K10716,"kch, trkA, mthK, pch; voltage-gated potassium channel"
PN96_RS22640,K02112,"ATPF1B, atpD; F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]"
PN96_RS16385,,
PN96_RS17690,,
PN96_RS11370,K01000,mraY; phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
PN96_RS12225,,
PN96_RS08160,,
PN96_RS17940,,
PN96_RS20205,K03817,rimL; ribosomal-protein-serine acetyltransferase [EC:2.3.1.-]
PN96_RS17665,,
PN96_RS20190,K07136,K07136; uncharacterized protein
PN96_RS12510,,
PN96_RS11925,K07278,tamA; translocation and assembly module TamA
PN96_RS17205,K07397,yhfA; putative redox protein
PN96_RS14145,K25223,"arsJ; MFS transporter, APGE family, 1-arseno-3-phosphoglycerate exporter"
PN96_RS05405,K07794,tctB; putative tricarboxylic transport membrane protein
PN96_RS06450,,
PN96_RS16750,K19333,"kdgR; IclR family transcriptional regulator, KDG regulon repressor"
PN96_RS09255,K08305,mltB; peptidoglycan lytic transglycosylase B [EC:4.2.2.29]
PN96_RS17850,,
PN96_RS13285,,
PN96_RS20955,K20962,cdgC; c-di-GMP phosphodiesterase [EC:3.1.4.52]
PN96_RS13960,K03732,rhlB; ATP-dependent RNA helicase RhlB [EC:5.6.2.7]
PN96_RS10165,K01146,xni; protein Xni
PN96_RS00120,K03043,rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
PN96_RS16695,K26937,"dinF, mepA, vmrA; MATE family, multidrug efflux pump"
PN96_RS07580,,
PN96_RS01915,,
PN96_RS06320,K06999,K06999; phospholipase/carboxylesterase
PN96_RS22930,,
PN96_RS21780,K13766,liuC; methylglutaconyl-CoA hydratase [EC:4.2.1.18]
PN96_RS09295,K07285,slp; outer membrane lipoprotein
PN96_RS00390,K12287,mshQ; MSHA biogenesis protein MshQ
PN96_RS06630,K02757,"bglF, bglP; beta-glucoside PTS system EIICBA component [EC:2.7.1.-]"
PN96_RS21745,,
PN96_RS20105,,
PN96_RS16560,K03768,"PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]"
PN96_RS11470,K09908,K09908; uncharacterized protein
PN96_RS08175,,
PN96_RS17330,K02011,"afuB, fbpB; iron(III) transport system permease protein"
PN96_RS15780,,
PN96_RS18045,,
PN96_RS06010,K03752,mobA; molybdenum cofactor guanylyltransferase [EC:2.7.7.77]
PN96_RS17325,K02010,"afuC, fbpC; iron(III) transport system ATP-binding protein [EC:7.2.2.7]"
PN96_RS03195,K09904,K09904; uncharacterized protein
PN96_RS16125,,
PN96_RS01575,,
PN96_RS21405,,
PN96_RS01800,,
PN96_RS07515,K00209,"fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]"
PN96_RS11715,K01653,"E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit [EC:2.2.1.6]"
PN96_RS05800,,
PN96_RS00320,K12280,mshJ; MSHA biogenesis protein MshJ
PN96_RS06105,K26441,lig; DNA ligase [EC:6.5.1.1]
PN96_RS07740,K03970,pspB; phage shock protein B
PN96_RS00855,K02670,pilU; twitching motility protein PilU
PN96_RS19155,K00311,ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
PN96_RS20980,K03926,cutA; periplasmic divalent cation tolerance protein
PN96_RS01090,K00951,relA; GTP pyrophosphokinase [EC:2.7.6.5]
PN96_RS02625,K10942,"flrB, fleS, flaL; two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]"
PN96_RS03045,K09160,K09160; uncharacterized protein
PN96_RS05455,,
PN96_RS22535,K21699,"bauR; LysR family transcriptional regulator, transcriptional activator for bauABCD operon"
PN96_RS14220,K02415,fliL; flagellar protein FliL
PN96_RS16305,K03851,tpa; taurine-pyruvate aminotransferase [EC:2.6.1.77]
PN96_RS20645,K08219,"UMF2; MFS transporter, UMF2 family, putative MFS family transporter protein"
PN96_RS03160,K23184,fecE; ferric citrate transport system ATP-binding protein [EC:7.2.2.18]
PN96_RS08405,K00703,glgA; starch synthase [EC:2.4.1.21]
PN96_RS11485,K02621,parC; topoisomerase IV subunit A [EC:5.6.2.2]
PN96_RS14620,K00057,gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
PN96_RS01840,,
PN96_RS04805,K03338,iolC; 5-dehydro-2-deoxygluconokinase [EC:2.7.1.92]
PN96_RS07880,K01814,hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]
PN96_RS19295,K01969,"MCCC2, accD1; 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]"
PN96_RS15350,K12536,"hasD, prtD, aprD, rsaD, prsD, eexD; ATP-binding cassette, subfamily C, type I secretion system permease/ATPase"
PN96_RS20055,,
PN96_RS00795,K03575,mutY; A/G-specific adenine glycosylase [EC:3.2.2.31]
PN96_RS18980,,
PN96_RS18340,K07685,"narP; two-component system, NarL family, nitrate/nitrite response regulator NarP"
PN96_RS08010,K00652,bioF; 8-amino-7-oxononanoate synthase [EC:2.3.1.47]
PN96_RS09340,,
PN96_RS23025,,
PN96_RS18975,,
PN96_RS03575,K07082,mltG; peptidoglycan lytic transglycosylase G [EC:4.2.2.29]
PN96_RS05425,K03417,prpB; methylisocitrate lyase [EC:4.1.3.30]
PN96_RS08195,K09796,pccA; periplasmic copper chaperone A
PN96_RS05215,,
PN96_RS21590,K01975,"thpR; RNA 2',3'-cyclic 3'-phosphodiesterase [EC:3.1.4.58]"
PN96_RS13415,K01825,fadB; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]
PN96_RS08210,K08989,K08989; putative membrane protein
PN96_RS17610,,
PN96_RS22120,,
PN96_RS16985,,
PN96_RS14050,K01749,"hemC, HMBS; hydroxymethylbilane synthase [EC:2.5.1.61]"
PN96_RS21880,,
PN96_RS12590,K10563,"mutM, fpg; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]"
PN96_RS09815,K06182,rluF; 23S rRNA pseudouridine2604 synthase [EC:5.4.99.21]
PN96_RS09465,K03711,"fur, zur, furB; Fur family transcriptional regulator, ferric uptake regulator"
PN96_RS03865,,
PN96_RS03240,,
PN96_RS03980,,
PN96_RS14650,K01613,"psd, PISD; phosphatidylserine decarboxylase [EC:4.1.1.65]"
PN96_RS19925,,
PN96_RS23345,K07226,"hutZ, hugZ; heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]"
PN96_RS09830,K01627,kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]
PN96_RS05885,K11071,potB; spermidine/putrescine transport system permease protein
PN96_RS07495,K19337,"hexR; RpiR family transcriptional regulator, carbohydrate utilization regulator"
PN96_RS04440,,
PN96_RS16825,,
PN96_RS02300,K02967,"RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2"
PN96_RS11430,K03600,sspB; stringent starvation protein B
PN96_RS08085,K18138,"acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump"
PN96_RS11095,,
PN96_RS11675,K00009,mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
PN96_RS12960,K02495,"hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]"
PN96_RS15800,K01176,"AMY, amyA, malS; alpha-amylase [EC:3.2.1.1]"
PN96_RS09675,K02395,flgJ; peptidoglycan hydrolase FlgJ
PN96_RS11760,K00052,"leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]"
PN96_RS12195,K01419,"hslV, clpQ; ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]"
PN96_RS19675,K18904,"nodT, ameC; outer membrane protein, multidrug efflux system"
PN96_RS12075,K02907,"RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30"
PN96_RS15215,,
PN96_RS17585,K06132,clsC; cardiolipin synthase C [EC:2.7.8.-]
PN96_RS16995,K14762,yibL; ribosome-associated protein
PN96_RS14465,K04084,"dsbD, dipZ; thioredoxin:protein disulfide reductase [EC:1.8.4.16]"
PN96_RS09145,K17315,"gtsA, glcE; glucose/mannose transport system substrate-binding protein"
PN96_RS03320,K03617,rnfA; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit A
PN96_RS01620,K08720,ompU; outer membrane protein OmpU
PN96_RS20240,K03782,katG; catalase-peroxidase [EC:1.11.1.21]
PN96_RS00960,K01934,MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]
PN96_RS21125,K00892,gsk; inosine kinase [EC:2.7.1.73]
PN96_RS10580,K03601,xseA; exodeoxyribonuclease VII large subunit [EC:3.1.11.6]
PN96_RS09210,K01252,"entB, dhbB, vibB, mxcF; bifunctional isochorismate lyase / aryl carrier protein [EC:3.3.2.1 6.3.2.14]"
PN96_RS18490,K00364,"guaC, GMPR; GMP reductase [EC:1.7.1.7]"
PN96_RS19865,K03719,"lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein"
PN96_RS21025,K06193,phnA; protein PhnA
PN96_RS18685,K15736,lhgO; (S)-2-hydroxyglutarate dehydrogenase [EC:1.1.5.13]
PN96_RS12850,K02457,gspH; general secretion pathway protein H
PN96_RS22145,,
PN96_RS09720,K00575,cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
PN96_RS07020,K26969,V; Enterobacteria phage tail tube protein
PN96_RS06340,K01666,mhpE; 4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39]
PN96_RS12890,K01610,pckA; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
PN96_RS03395,K10823,oppF; oligopeptide transport system ATP-binding protein
PN96_RS04780,,
PN96_RS11200,K00872,thrB; homoserine kinase [EC:2.7.1.39]
PN96_RS12955,K01488,"add, ADA; adenosine deaminase [EC:3.5.4.4]"
PN96_RS12600,K02913,"RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33"
PN96_RS18760,K26400,"quiC1, QA-4; 3-dehydroshikimate dehydratase [EC:4.2.1.118]"
PN96_RS04395,,
PN96_RS16720,,
PN96_RS06065,,
PN96_RS16725,K01070,"frmB, ESD, fghA; S-formylglutathione hydrolase [EC:3.1.2.12]"
PN96_RS18775,K10220,ligJ; 4-oxalmesaconate hydratase [EC:4.2.1.83]
PN96_RS18870,K12541,"lapB; ATP-binding cassette, subfamily C, bacterial LapB"
PN96_RS07755,K19226,sapA; cationic peptide transport system substrate-binding protein
PN96_RS01560,K19694,"chiS; two-component system, sensor histidine kinase ChiS"
PN96_RS06385,K02083,allC; allantoate deiminase [EC:3.5.3.9]
PN96_RS02535,,
PN96_RS09590,K05838,ybbN; putative thioredoxin
PN96_RS11240,K07139,K07139; uncharacterized protein
PN96_RS09445,K01175,ybfF; esterase [EC:3.1.-.-]
PN96_RS12310,,
PN96_RS21440,,
PN96_RS17280,,
PN96_RS04195,,
PN96_RS00910,K00615,"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]"
PN96_RS17485,K08281,pncA; nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]
PN96_RS00195,K03765,cadC; transcriptional activator of cad operon
PN96_RS20705,K07112,K07112; uncharacterized protein
PN96_RS22805,,
PN96_RS12605,K02902,"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28"
PN96_RS13505,K16962,yxeN; putative S-methylcysteine transport system permease protein
PN96_RS14900,,
PN96_RS16805,K07275,ompW; outer membrane protein
PN96_RS17710,,
PN96_RS19970,K00852,"rbsK, RBKS; ribokinase [EC:2.7.1.15]"
PN96_RS19210,,
PN96_RS03415,K00925,ackA; acetate kinase [EC:2.7.2.1]
PN96_RS21465,,
PN96_RS18020,K21053,ade; adenine deaminase [EC:3.5.4.2]
PN96_RS02975,K11754,folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
PN96_RS17565,K13639,"soxR; MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR"
PN96_RS00800,K03439,"trmB, METTL1, TRM8; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]"
PN96_RS17210,K00661,maa; maltose O-acetyltransferase [EC:2.3.1.79]
PN96_RS08485,K03722,dinG; ATP-dependent DNA helicase DinG [EC:5.6.2.3]
PN96_RS23415,K02342,dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7]
PN96_RS08145,,
PN96_RS14615,K00640,cysE; serine O-acetyltransferase [EC:2.3.1.30]
PN96_RS19565,,
PN96_RS02965,K06173,"truA, PUS1; tRNA pseudouridine38-40 synthase [EC:5.4.99.12]"
PN96_RS04645,K01826,"hpaF, hpcD; 5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]"
PN96_RS16280,K03292,"TC.GPH; glycoside/pentoside/hexuronide:cation symporter, GPH family"
PN96_RS03355,K03638,moaB; molybdopterin adenylyltransferase [EC:2.7.7.75]
PN96_RS00460,K09889,yjgA; ribosome-associated protein
PN96_RS03885,,
PN96_RS18260,,
PN96_RS11830,K03979,"obgE, cgtA, MTG2; GTPase [EC:3.6.5.-]"
PN96_RS14915,K07235,"tusD, dsrE; tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]"
PN96_RS01105,K01689,"ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]"
PN96_RS17580,,
PN96_RS05080,K09471,"puuB, ordL; gamma-glutamylputrescine oxidase [EC:1.4.3.-]"
PN96_RS05350,K02014,TC.FEV.OM; iron complex outermembrane recepter protein
PN96_RS21980,K16871,POP2; 4-aminobutyrate---pyruvate transaminase [EC:2.6.1.96]
PN96_RS23375,,
PN96_RS14730,K06925,tsaE; tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
PN96_RS08545,K10025,aotP; arginine/ornithine transport system ATP-binding protein [EC:7.4.2.1]
PN96_RS16555,,
PN96_RS21665,K10680,nemA; N-ethylmaleimide reductase [EC:1.-.-.-]
PN96_RS08695,K02503,"HINT1_2, hinT, hit; histidine triad (HIT) family protein [EC:3.9.1.-]"
PN96_RS10030,K01869,"LARS, leuS; leucyl-tRNA synthetase [EC:6.1.1.4]"
PN96_RS12500,,
PN96_RS02380,K01962,accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
PN96_RS19045,,
PN96_RS13930,,
PN96_RS17460,K03735,eutB; ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]
PN96_RS01290,K03106,"SRP54, ffh; signal recognition particle subunit SRP54 [EC:3.6.5.4]"
PN96_RS15090,K02990,"RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6"
PN96_RS14375,,
PN96_RS20045,K24118,"atsB, chuR, aslB; serine-type anaerobic sulfatase-maturating enzyme [EC:1.1.98.7]"
PN96_RS08620,K02238,comEC; competence protein ComEC
PN96_RS03100,K01424,"E3.5.1.1, ansA, ansB; L-asparaginase [EC:3.5.1.1]"
PN96_RS08375,K03533,torD; TorA specific chaperone
PN96_RS14195,K09811,ftsX; cell division transport system permease protein
PN96_RS11945,,
PN96_RS07635,,
PN96_RS05185,K01299,E3.4.17.19; carboxypeptidase Taq [EC:3.4.17.19]
PN96_RS13875,,
PN96_RS22905,,
PN96_RS02895,,
PN96_RS12575,K12982,opsX; heptosyltransferase I [EC:2.4.-.-]
PN96_RS01680,K02519,"infB, MTIF2; translation initiation factor IF-2"
PN96_RS02470,K00761,"upp, UPRT; uracil phosphoribosyltransferase [EC:2.4.2.9]"
PN96_RS07055,,
PN96_RS01990,K02445,"glpT; MFS transporter, OPA family, glycerol-3-phosphate transporter"
PN96_RS15915,,
PN96_RS24325,,
PN96_RS00410,K06287,yhdE; nucleoside triphosphate pyrophosphatase [EC:3.6.1.-]
PN96_RS09160,K08997,"SELENOO, selO; protein adenylyltransferase [EC:2.7.7.108]"
PN96_RS13405,K03498,"trkH, trkG, ktrB, ktrD; trk/ktr system potassium uptake protein"
PN96_RS11020,K03101,lspA; signal peptidase II [EC:3.4.23.36]
PN96_RS00100,K02867,"RP-L11, MRPL11, rplK; large subunit ribosomal protein L11"
PN96_RS12430,,
PN96_RS20500,,
PN96_RS04400,,
PN96_RS12675,K02031,ddpD; peptide/nickel transport system ATP-binding protein
PN96_RS02995,K10918,"aphB; LysR family transcriptional regulator, transcriptional activator AphB"
PN96_RS09290,,
PN96_RS05365,K01057,"PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]"
PN96_RS12375,K00973,"rfbA, rmlA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]"
PN96_RS23200,K08325,yqhD; NADP-dependent alcohol dehydrogenase [EC:1.1.-.-]
PN96_RS02850,K01782,fadJ; 3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]
PN96_RS05625,K00243,K00243; uncharacterized protein
PN96_RS11980,,
PN96_RS23090,K01993,ABC-2.TX; HlyD family secretion protein
PN96_RS11550,K03306,"TC.PIT; inorganic phosphate transporter, PiT family"
PN96_RS20175,,
PN96_RS19390,,
PN96_RS18175,K00134,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"
PN96_RS21000,K19222,"menI, DHNAT; 1,4-dihydroxy-2-naphthoyl-CoA hydrolase [EC:3.1.2.28]"
